Category,Narration
UPI,UPI/DR/101895374870/FLIPKAR T /HDFC/**.PAYU@HDFCBANK/U PI TRAN//HDFD625E7E1E4A94657 BD30A7ACF53185BF/05/11/2025 22:28:03
UPI,UPI/DR/740828843104/IRCTC WEB/YESB/**51536@PTYBL/PA YMENT //AXL4A29DC0D4616469EA33B 085A0513346B/06/11/2025 11:48:02
UPI,UPI/DR/101899321560/IRCTCT OUR/HDFC/**PAYTM@HDFCBA NK/PAYMENT//HDF3968DF0434 6049ADBCCAF814E551BC7C/06/11/2025 11:58:27
UPI,UPI/DR/294543218579/IRCTC WEB/YESB/**51536@PTYBL/OI D10000//PTM511068033228379 86317202511061205/06/11/2025 12:06:02
UPI,UPI/DR/101899480543/IRCTC CF/HDFC/**TC.CF@HDFCBANK /IRCTC TI//HDFFFF74012A3AA42ABB02 C4F3E57F897EC/06/11/2025 12:11:31
UPI,UPI/DR/101899616036/IRCTC CF/HDFC/**TC.CF@HDFCBANK /IRCTC TI//HDFF966A1051C194457ABD A63FBD8D86F13/06/11/2025 12:23:16
UPI,UPI/CR/531006932363/IRCTC WEB/YESB/**51536@PTYBL/EX PRESS//PTMD995CCB20B844D 36B3F3FD3C6EADAFC5/06/11/2025 12:31:59
UPI,UPI/CR/531098003112/YASH NIGAM/UCBA/**M.DEV@OKAXI S/UPI//AXI336824D5A11F4876B 08CF57D3FD90DF3/06/11/2025 19:08:25
UPI,UPI/DR/678332814378/DAULAT RA/YESB/**L0EIL@PTYS/PAYM ENT //AXLF2A1AE49A8EB47D6BA32 2F4B72345A61/07/11/2025 13:28:02
UPI,UPI/DR/531210144042/GOIBIBO /AIRP/**P.RZP@MAIRTEL/PAY VIA //APB759880A806BC40FC8EE4 34D90D9A9F33/08/11/2025 10:13:23
UPI,UPI/DR/294652892751/IRCTC WEB/YESB/**51536@PTYBL/OI D10000//PTM511088030332001 97645202511081102/08/11/2025 11:02:30
UPI,UPI/DR/956543920984/K K CATER/HDFC/**49953@HDFCB ANK/PAYMENT //AXL12C80CBD5EA94C9AB20E 2FF4B0142E7D/08/11/2025 18:39:23
UPI,UPI/DR/552500293774/TIPUCH AND/UTIB/**02217@OKBIZAXIS /PAYMENT //AXL73272C0DF5F34FC78581B 8EB02B8599F/08/11/2025 19:06:50
UPI,UPI/DR/594092505355/JIO RECHA/UTIB/**IRECT@AXL/PA YMENT //AXL433083CCA5A4428CA5408 0654F51DEE5/08/11/2025 22:21:05
UPI,UPI/DR/612280263603/RASEEL A P/YESB/**720D1@PTYS/PAYM ENT //AXL436B7124842241BB8A16F 7EB14133C3F/09/11/2025 13:57:11
UPI,UPI/DR/249854040625/VEDIC BOD/NSPB/**OGI12@CASHFRE ENSDLPB/4559529820//AXL1AD DC079E6324A5F816C6B8F529E 1B56/09/11/2025
UPI,UPI/DR/113980826549/MYJIO/H DFC/**EBUZZ@HDFCBANK/PA Y//HDF6E1F7BCE2B9A4E83953 E9F21AD9DDC31/11/11/2025 10:48:14
UPI,UPI/DR/113981067606/MYJIO/H DFC/**EBUZZ@HDFCBANK/PA Y//HDF6DAF411741854180B42 CEFF5E93A4FE7/11/11/2025 10:53:27
UPI,UPI/DR/851693395706/MAHEND RA /SBIN/**MOR2@OKSBI/PAYMENT //AXL3EF4D10CD8D349DAA03B 065C5F28A487/11/11/2025 23:13:29
UPI,UPI/CR/531726423183/APOORV A S/UCBA/**OORVA@OKSBI/UPI// SBIFBE21CC5055E4CCBBD38D 0965B9A7C3E/13/11/2025 22:56:50
UPI,UPI/DR/101971285874/FLIPKAR T /HDFC/**.PAYU@HDFCBANK/U PI TRAN//HDF021D14E38D184975 A985EBAB2F63514F/14/11/2025 23:26:25
UPI,UPI/DR/101972876959/ICCL MU/HDFC/**MENTS@HDFCBA NK/ONLY RS //HDF43997C3C15861DD5E063 EBEEE20A884F/15/11/2025 08:51:08
UPI,UPI/DR/531997654530/ICCLGROWW/HDFC/**WWPAY@HD FCBANK/PAID VIA//GPG2025111535874217240 8676567874441/15/11/2025 08:51:57
UPI,UPI/DR/531997657555/ICCLGROWW/HDFC/**WWPAY@HD FCBANK/PAID VIA//GPG2025111548498659676 5827369280432/15/11/2025 08:52:17
UPI,UPI/DR/046010497178/SWIGGY LI/UTIB/**TORES@AXB/PAY FOR //AXB9F3A575229B14B08B3B1E C5E94D5A3E3/15/11/2025 17:20:27
